Reference,Abrv Reference (AEW),CAS Number,USEPA RSL Residential,USEPA RSL Industrial,ESL - Tier 1,ESL - Commerical,ESL - Construction Workers,California OSHA Permissible Exposure Limits,ESL - Residential,DTSLs SLs - Residential,DTSCs SLs - Commerical,Concentration in California Benchmark Soil,TTLC,STLCx10,STLC,TCLPx20,TCLP,Baylands Soil Processing,Lennar Urban - Candlestick Point Redevelopment,Shaklette and Boerngen,LBNL,Bradford et al.,ESL - Tier 1 (GW),SFPUC Batch Discharge Criteria,Subslab / Soil Gas ESL - Tier 1,Subslab / Soil Gas ESL - Residential,Subslab / Soil Gas ESL - Commercial,Indoor Air ESL - Tier 1,Indoor Air ESL - Residential,Indoor Air ESL - Commercial,Air DTSCs SLs - Residential,Air DTSC SLs - Commercial,California OSHA Permissible Exposure Limits (SV)
Bromoform,Bromo form,75-25-2,19,86,0.69,80,1200,NA,18,19,87,NA,NA,NA,NA,NA,NA,24,0.69,NA,NA,NA,NA,NA,85.08159,85.081585,371.63636,2.5524476,2.5524476,11.149091,2.6,11,5000
Bromomethane,Bromo methane,74-83-9,6.8,30,0.36,30,29,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.36,NA,NA,NA,NA,NA,173.8095,173.80952,730,5.2142857,5.2142857,21.9,NA,NA,3880
Butylbenzyl Phthalate,Butyl benzyl Phthalate,85-68-7,290,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cadmium,Cd,7440-43-9,7.1,100,1.9,1100,51,NA,78,71,780,0.36,100,10,1,20,1,14,1.9,NA,5.6,0.36,0.25,500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carbon Disulfide,Carbon Disulfide,75-15-0,770,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12000
Carbon Tetrachloride,Carbon Tetra chloride,56-23-5,0.65,2.9,0.076,2.7,53,NA,0.62,0.65,2.9,NA,NA,NA,NA,10,0.5,0.02,0.011,NA,NA,NA,NA,NA,15.59829,15.598291,68.133333,0.4679487,0.4679487,2.044,0.067,0.29,12600
Chlordane (Technical),Chlordane,12789-03-06,1.7,7.7,0.0085,2.2,14,NA,0.48,1.7,6.1,NA,2.5,2.5,0.25,0.6,0.03,0.44,0.0085,NA,NA,NA,NA,NA,0.275264,0.275264,1.2023529,0.0082579,0.0082579,0.0360706,0.0083,0.036,NA
Chlorobenzene,Chloro benzene,108-90-7,280,1300,1.4,1300,1200,NA,270,NA,NA,NA,NA,NA,NA,2000,100,1.5,1.4,NA,NA,NA,NA,NA,1738.095,1738.0952,7300,52.142857,52.142857,219,NA,NA,46000
Chloroethane,Chloro ethane (Ethyl Chloride),75-00-3,5400,23000,1.2,59000,59000,NA,14000,NA,NA,NA,NA,NA,NA,NA,NA,0.85,1.2,NA,NA,NA,NA,NA,347619,347619.05,1460000,10428.571,10428.571,43800,NA,NA,1050000
Chloroform,Chloroform,67-66-3,0.32,1.4,0.023,1.4,34,NA,0.32,NA,NA,NA,NA,NA,NA,120,6,0.68,0.023,NA,NA,NA,NA,NA,4.069119,4.0691193,17.773913,0.1220736,0.1220736,0.5332174,NA,NA,NA
Chloromethane,Chloro methane,74-87-3,110,460,11,470,470,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,6.4,11,NA,NA,NA,NA,NA,3128.571,3128.5714,13140,93.857143,93.857143,394.2,NA,NA,NA
Chromium,Cr,7440-47-3,120000,1800000,120000,1800000,530000,NA,120000,NA,NA,122,2500,50,5,100,5,160,160,56,120,122,50,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrysene,Chrysene,0218-01-09,110,2100,2.2,2100,9100,NA,110,110,1300,NA,NA,NA,NA,NA,NA,23,2.2,NA,NA,NA,0.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cis-1,2-Dichloroethene","cis-1,2-Dichloro ethene",156-59-2,160,2300,0.19,85,78,NA,19,18,84,NA,NA,NA,NA,NA,NA,6.5,0.19,NA,NA,NA,NA,NA,278.0952,278.09524,1168,8.3428571,8.3428571,35.04,NA,NA,NA
"cis-1,3-Dichloropropene","cis-1,3-Dichloro propene",10061-01-05,1.8,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cobalt,Co,7440-48-4,23,350,23,350,28,NA,23,NA,NA,14.9,8000,800,80,NA,NA,25,23,9,25,14.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Copper,Cu,7440-50-8,3100,47000,180,47000,14000,NA,3100,NA,NA,28.7,2500,250,25,NA,NA,180,180,27,63,28.7,3.1,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA
d-BHC,d-BHC,319-86-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dibenzo (a,h) anthracene","Dibenzo (a,h) anthracene",53-70-3,0.11,2.1,0.11,2.1,11,NA,0.11,0.028,0.31,NA,NA,NA,NA,NA,NA,0.062,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dibenzofuran,Dibenzo furan,132-64-9,78,1200,NA,NA,NA,NA,NA,66,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dibromochloromethane,Dibromo chloro methane,124-48-1,8.3,39,0.35,39,290,NA,8.3,0.94,4.1,NA,NA,NA,NA,NA,NA,7.6,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0.58,NA
Dibromofluoromethane,Dichloro difluoro methane,1868-53-7,87,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dibromomethane,Dibromo methane (Methylene Bromide),74-95-3,24,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dieldrin,Dieldrin,60-57-1,0.034,0.14,0.00046,0.16,1.1,NA,0.037,0.034,0.093,NA,8,8,0.8,NA,NA,0.0023,0.00046,NA,NA,NA,NA,NA,0.020346,0.0203456,0.0888696,0.0006104,0.0006104,0.0026661,0.00061,0.0027,NA
Diethyl Phthalate,Diethyl Phthalate,84-66-2,51000,660000,0.025,660000,150000,NA,51000,51000,420000,NA,NA,NA,NA,NA,NA,0.035,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diisopropyl ether (DIPE),Diisopropyl ether,108-20-3,2200,9400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050000
Dimethyl Phthalate,Dimethyl Phthalate,0131-11-3,NA,NA,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Di-n-butyl Phthalate,Di-n-butyl Phthalate,84-74-2,6300,82000,NA,NA,NA,NA,NA,6300,53000,NA,NA,NA,NA,NA,NA,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Di-n-octyl Phthalate,Di-n-octyl Phthalate,117-84-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endosulfan I,Endosulfan I,959-98-8,470,7000,0.0098,5800,1500,NA,420,450,6000,NA,NA,NA,NA,NA,NA,0.0046,0.0098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endosulfan II,Endosulfan II,33213-65-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endosulfan sulfate,Endosulfan sulfate,1031-07-08,380,4900,NA,NA,NA,NA,NA,380,3200,NA,NA,NA,NA,NA,NA,0.0046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endrin,Endrin,72-20-8,19,250,0.0011,290,74,NA,21,19,160,NA,0.2,2,0.02,0.4,0.02,0.00065,0.0011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endrin aldehyde,Endrin aldehyde,7421-93-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endrin ketone,Endrin ketone,53494-70-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethyl tert-butyl ether (ETBE),Ethyl tert-butyl ether,637-92-3,130,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethylbenzene,Ethyl Benzene,100-41-4,5.8,25,0.43,26,540,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,2.3,26,NA,NA,NA,3.5,NA,37.4359,37.435897,163.52,1.1230769,1.1230769,4.9056,NA,NA,435000
Fluoranthene,Fluoranthene,206-44-0,2400,3000,0.69,30000,6700,NA,2400,2400,18000,NA,NA,NA,NA,NA,NA,40,0.69,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fluorene,Fluorene,86-73-7,2400,3000,6,30000,6700,NA,2400,2300,17000,NA,NA,NA,NA,NA,NA,8.9,6,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Freon 113,Freon 113,76-13-1,6700,28000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
g-BHC,g-BHC,58-89-9,0.57,2.5,0.0074,2.5,16,NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,0.0098,0.0074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
g-Chlordane,g-Chlordane,5566-34-7,36,500,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,0.25,0.6,0.03,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heptachlor,Heptachlor,76-44-8,0.13,0.63,0.12,0.53,3.7,NA,0.12,0.13,0.63,NA,4.7,4.7,0.47,0.16,0.008,NA,0.12,NA,NA,NA,NA,NA,0.071992,0.0719921,0.3144615,0.0021598,0.0021598,0.0094338,0.0022,0.0094,NA
Heptachlor epoxide,Heptachlor epoxide,1024-57-3,0.07,0.33,0.00018,0.28,1.9,NA,0.062,0.07,0.33,NA,4.7,4.7,0.47,0.16,0.008,0.014,0.00018,NA,NA,NA,NA,NA,0.035996,0.0359961,0.1572308,0.0010799,0.0010799,0.0047169,0.0011,0.0047,NA
Hexachlorobenzene,Hexachloro benzene,118-74-1,0.21,0.96,0.0008,0.78,7.7,NA,0.18,0.19,0.86,NA,NA,NA,NA,2.6,0.13,NA,0.0008,NA,NA,NA,NA,NA,0.183509,0.1835093,0.8015686,0.0055053,0.0055053,0.0240471,0.0055,0.024,NA
Hexachlorobutadiene,Hexa chloro butadiene,87-68-3,1.2,5.3,0.028,5.3,100,NA,1.2,1.2,5.3,NA,NA,NA,NA,10,0.5,NA,0.028,NA,NA,NA,NA,NA,4.254079,4.2540793,18.581818,0.1276224,0.1276224,0.5574545,0.13,0.56,240
Hexachlorocyclopentadiene,Hexachloro cyclo pentadiene,77-47-4,1.8,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hexachloroethane,Hexachloro ethane,67-72-1,1.8,8,0.019,7.8,120,NA,1.8,NA,NA,NA,NA,NA,NA,60,3,12,0.019,NA,NA,NA,NA,NA,8.508159,8.5081585,37.163636,0.2552448,0.2552448,1.1149091,NA,NA,NA
"Indeno (1,2,3-cd) pyrene","Indeno (1,2,3-cd) pyrene",193-39-5,1.1,21,0.48,21,110,NA,1.1,1.1,13,NA,NA,NA,NA,NA,NA,0.62,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isophorone,Isophorone,78-59-1,570,2400,NA,NA,NA,NA,NA,570,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isopropylbenzene,Isopropyl benzene,98-82-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lead,Pb,7439-92-1,400,800,32,320,160,NA,80,80,320,23.9,1000,50,5,100,5,200,32,20,43,23.9,2.5,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mercury,Hg,7439-97-6,11,46,13,190,44,NA,13,1,4.5,0.26,20,2,2,4,2,1.3,13,0.065,0.42,0.26,0.025,50,1.042857,1.0428571,4.38,0.0312857,0.0312857,0.1314,NA,NA,NA
Methoxychlor,Methoxy chlor,72-43-5,320,4100,0.013,4800,1200,NA,350,320,2600,NA,100,100,10,200,10,19,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylene chloride,Methylene Chloride,75-09-2,57,1000,0.12,25,490,NA,1.9,2.2,26,NA,NA,NA,NA,NA,NA,7.2,0.12,NA,NA,NA,NA,NA,33.7963,33.796296,408.8,1.0138889,1.0138889,12.264,NA,NA,87000
Methyl-t-butyl ether (MTBE),Methyl-t-butyl ether (MTBE),1634-04-04,47,210,0.028,210,4100,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,8.4,0.028,NA,NA,NA,NA,NA,359.9606,359.96055,1572.3077,10.798817,10.798817,47.169231,NA,NA,144000
Molybdenum,Mo,7439-98-7,390,5800,6.9,5800,1800,NA,390,NA,NA,1.3,3500,3500,350,NA,NA,6.9,6.9,1.1,4.8,1.3,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MTBE,MTBE,1634-04-04,47,210,0.028,210,4100,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,8.4,210,NA,NA,NA,5,NA,359.9606,359.96055,1572.3077,10.798817,10.798817,47.169231,NA,NA,NA
Naphthalene,Naphthalene,91-20-3,2,8.6,0.042,17,400,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,1.3,0.042,NA,NA,NA,0.17,NA,2.75264,2.7526395,12.023529,0.0825792,0.0825792,0.3607059,NA,NA,50000
n-Butyl benzene,n-Butyl Benzene,104-51-8,3900,58000,NA,NA,NA,NA,NA,2400,18000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nickel,Ni,7440-02-0,1500,22000,86,11000,86,NA,820,820,11000,57,2000,200,20,NA,NA,86,86,19,272,57,8.2,2000,NA,NA,NA,NA,NA,NA,0.011,0.047,NA
Nitrobenzene,Nitro benzene,98-95-3,5.1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N-Nitrosodi-n-propylamine,N-Nitrosodi-n-propyl amine,621-64-7,0.078,0.3,NA,NA,NA,NA,NA,0.078,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N-Nitrosodiphenylamine,N-Nitrosodi phenyl amine,86-30-6,110,470,NA,NA,NA,NA,NA,110,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
n-Propyl benzene,n-Propyl benzene,103-65-1,3800,24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p,p-DDD","p,p-DDD",72-54-8,1.9,9.6,2.7,12,81,NA,2.7,1.9,6.2,NA,1,1,0.1,NA,NA,2.4,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p,p-DDE","p,p-DDE",72-55-9,2,9.3,0.33,8.3,57,NA,1.8,2,9.3,NA,1,1,0.1,NA,NA,1.7,0.33,NA,NA,NA,NA,NA,0.964843,0.9648427,4.214433,0.0289453,0.0289453,0.126433,NA,NA,NA
"p,p-DDT","p,p-DDT",50-29-3,1.9,8.5,0.0011,8.5,57,NA,1.9,1.9,7.1,NA,1,1,0.1,NA,NA,1.7,0.0011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PCBs, total","PCBs, Total",1336-36-3,0.23,0.94,0.23,0.94,5.5,NA,0.23,0.23,0.58,NA,50,50,5,NA,NA,NA,0.23,NA,NA,NA,NA,NA,0.164193,0.1641925,0.717193,0.0049258,0.0049258,0.0215158,NA,NA,NA
Pentachlorophenol,Penta chlorophenol,87-86-5,1,4,0.013,4,20,NA,1,1,2,NA,17,17,1.7,2000,100,NA,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pH,pH,12408-02-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6 - 9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phenanthrene,Phenanthrene,85-01-8,NA,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7.8,NA,NA,NA,4.6,NA,1833.333,NA,NA,55,NA,NA,NA,NA,NA
Phenol,Phenol,108-95-2,19000,250000,0.16,350000,98000,NA,23000,19000,160000,NA,NA,NA,NA,NA,NA,3.9,0.16,NA,NA,NA,5,NA,5200,NA,NA,156,NA,NA,NA,NA,NA
Pyrene,Pyrene,129-00-0,1800,23000,45,23000,5000,NA,1800,1800,13000,NA,NA,NA,NA,NA,NA,85,45,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pyridine,Pyridine,110-86-1,78,1200,NA,NA,NA,NA,NA,58,530,NA,NA,NA,NA,100,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sec-Butyl benzene,sec-Butyl benzene,135-98-8,7800,120000,NA,NA,NA,NA,NA,2200,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Selenium,Se,7782-49-2,390,5800,2.4,5800,1700,NA,390,NA,NA,0.058,100,10,1,20,1,2.4,2.4,0.34,4.9,0.058,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Silver,Ag,7440-22-4,390,5800,25,5800,1800,NA,390,NA,NA,0.8,500,50,5,100,5,25,25,NA,2.9,0.8,0.19,600,NA,NA,NA,NA,NA,NA,NA,NA,NA
Styrene,Styrene,100-42-5,6000,35000,0.92,33000,25000,NA,5700,NA,NA,NA,NA,NA,NA,NA,NA,15,0.92,NA,NA,NA,NA,NA,31285.71,31285.714,131400,938.57143,938.57143,3942,NA,NA,215000
t-Butyl alcohol (TBA),t-Butyl alcohol,75-65-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300000
Terbium,Tb,7440-27-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tert-Amyl methyl ether (TAME),tert-Amyl methyl ether,0994-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tert-Butyl benzene,tert-Butyl benzene,98-06-6,7800,120000,NA,NA,NA,NA,NA,2200,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetrachloroethene,Tetrachloro ethene,127-18-4,24,100,0.08,2.7,33,NA,0.59,0.6,2.7,NA,NA,NA,NA,14,0.7,0.37,0.08,NA,NA,NA,NA,NA,15.34258,15.342581,67.016393,0.4602774,0.4602774,2.0104918,0.46,2,NA
Thallium,Tl,7440-28-0,0.78,12,0.78,12,3.5,NA,0.78,NA,NA,15.7,700,70,7,NA,NA,3.8,0.78,NA,10,0.56,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toluene,Toluene,108-88-3,4900,47000,3.2,5300,4700,NA,1100,1100,5300,NA,NA,NA,NA,NA,NA,9.3,5300,NA,NA,NA,40,NA,10428.57,10428.571,43800,312.85714,312.85714,1314,NA,NA,188000
Total Cyanide,CN-,57-12-5,23,150,3.40E-03,25,22,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,27.80952,27.809524,116.8,0.8342857,0.8342857,3.504,NA,NA,NA
Toxaphene,Toxaphene,8001-35-2,0.49,2.1,0.51,2.2,14,NA,0.51,0.45,1.2,NA,5,5,0.5,10,0.5,NA,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0083,0.036,NA
TPH(g),TPHs-G,8006-61-9,82,420,100,2000,1800,NA,430,NA,NA,NA,NA,NA,NA,NA,NA,1200,1200,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TPH(g) (C6-C12),TPHs-G,8006-61-9,82,420,100,2000,1800,NA,430,NA,NA,NA,NA,NA,NA,NA,NA,1200,1200,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TPH-Diesel (C10-C23),TPHs-D,68334-30-5,96,440,260,1200,1100,NA,260,97,500,NA,NA,NA,NA,NA,NA,2000,2000,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TPH-Motor Oil (C18-C36),TPHs-MO,8042-47-5,2400,30000,1600,180000,54000,NA,12000,2400,18000,NA,NA,NA,NA,NA,NA,370,180000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"trans-1,2-Dichloroethene","trans-1,2-Dichloro ethene",156-60-5,70,300,0.65,600,570,NA,130,130,600,NA,NA,NA,NA,NA,NA,10,0.65,NA,NA,NA,NA,NA,2780.952,2780.9524,11680,83.428571,83.428571,350.4,NA,NA,NA
"trans-1,3-Dichloropropene","trans-1,3-Dichloro propene",10061-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichloroethene,Trichloro ethene,79-01-6,0.94,6,0.085,6.1,18,NA,0.95,NA,NA,NA,2040,2040,204,10,0.5,1.9,0.085,NA,NA,NA,NA,NA,15.94391,15.943905,99.707317,0.4783172,0.4783172,2.9912195,NA,NA,135000
Trichlorofluoromethane,Trichloro fluoro methane,75-69-4,23000,350000,NA,NA,NA,NA,NA,1200,5400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56000000
Vanadium,V,7440-62-2,390,5800,18,5800,470,NA,390,NA,NA,112,2400,240,24,NA,NA,90,18,88,90,112,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vinyl Chloride,Vinyl Chloride,75-01-4,0.059,1.7,0.0015,0.15,3.4,NA,0.0083,0.0082,0.15,NA,NA,NA,NA,4,0.2,0.022,0.0015,NA,NA,NA,NA,NA,0.315117,0.315117,5.2410256,0.0094535,0.0094535,0.1572308,NA,NA,NA
Xylenes,Total Xylenes,1330-20-7,580,2500,2.1,2500,2400,NA,580,NA,NA,NA,NA,NA,NA,NA,NA,11,2500,NA,NA,NA,20,NA,3476.19,3476.1905,14600,104.28571,104.28571,438,NA,NA,435000
Zinc,Zn,7440-66-6,23000,350000,340,350000,110000,NA,23000,NA,NA,149,5000,2500,250,NA,NA,340,340,65,140,149,81,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH4,CH4,74-82-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dissolved Sulfide,Dissolved Sulfides,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Other Pesticides,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reactive Sulfide,Sulfides,18496-25-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ignitability_screen,RCI,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reactive Cyanide,CN-,57-12-5,NA,NA,NA,25,22,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asbestos,Asbestos,1332-21-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hexavalent chromium,Cr +6,18540-29-9,0.3,6.3,0.3,6.2,2.8,NA,0.3,NA,NA,NA,500,50,5,NA,NA,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WET Antimony,WET Sb,7440-36-0,NA,NA,NA,164,50,NA,11,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WET Arsenic,WET As,7440-38-2,NA,NA,NA,0.31,1,NA,0.067,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCLP Arsenic,TCLP As,7440-38-2,NA,NA,NA,0.31,1,NA,0.067,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WET Barium,WET Ba,7440-39-3,NA,NA,NA,220000,3000,NA,15000,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
