Reference,Abrv Reference (AEW),CAS Number,USEPA RSL Residential,USEPA RSL Industrial,ESL - Tier 1,ESL - Commerical,ESL - Construction Workers,California OSHA Permissible Exposure Limits,ESL - Residential,DTSLs SLs - Residential,DTSCs SLs - Commerical,Concentration in California Benchmark Soil,TTLC,STLCx10,STLC,TCLPx20,TCLP,Baylands Soil Processing,Lennar Urban - Candlestick Point Redevelopment,Shaklette and Boerngen,LBNL,Bradford et al.,ESL - Tier 1 (GW),SFPUC Batch Discharge Criteria,Subslab / Soil Gas ESL - Tier 1,Subslab / Soil Gas ESL - Residential,Subslab / Soil Gas ESL - Commercial,Indoor Air ESL - Tier 1,Indoor Air ESL - Residential,Indoor Air ESL - Commercial,Air DTSCs SLs - Residential,Air DTSC SLs - Commercial,California OSHA Permissible Exposure Limits (SV)
"1,3-Dichlorobenzene","1,3-Dichloro benzene",541-73-1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1,3-Dichloropropene, Total","1,3-Dichloro propene",542-75-6,1600,23000,0.017,2.5,53,NA,0.57,410,2200,NA,NA,NA,NA,NA,NA,0.17,0.017,NA,NA,NA,NA,NA,5.849359,5.849359,25.55,0.1754808,0.1754808,0.7665,0.18,0.77,NA
"1,4-Dichlorobenzene","1,4-Dichloro benzene",106-46-7,2.6,11,0.2,12,280,NA,2.6,NA,NA,NA,NA,NA,NA,150,7.5,1.2,0.2,NA,NA,NA,NA,NA,8.508159,8.5081585,37.163636,0.2552448,0.2552448,1.1149091,NA,NA,60000
"2,2-Dichloropropane","2,2-Dichloro propane",594-20-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2,4,5-Trichlorophenol","2,4,5-Trichloro phenol",95-95-4,6300,82000,2.9,120000,35000,NA,7800,6300,53000,NA,NA,NA,NA,8000,400,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2,4,6-Trichlorophenol","2,4,6-Trichloro phenol",88-06-2,49,210,0.04,47,350,NA,9.9,7.8,21,NA,NA,NA,NA,400,2,1.6,0.04,NA,NA,NA,NA,NA,10,NA,NA,0.3,NA,NA,NA,NA,NA
"2,4-Dichlorophenol","2,4-Dichloro phenol",120-83-2,190,2500,0.0075,3500,1100,NA,230,190,1600,NA,NA,NA,NA,NA,NA,3,0.0075,NA,NA,NA,NA,NA,46666.67,NA,NA,1400,NA,NA,NA,NA,NA
"2,4-Dimethylphenol","2,4-Dimethyl phenol",105-67-9,1300,16000,8.1,23000,7100,NA,1600,1300,11000,NA,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,NA,NA,33.33333,NA,NA,1,NA,NA,NA,NA,NA
"2,4-Dinitrophenol","2,4-Dinitro phenol",51-28-5,130,1600,3,2300,710,NA,160,130,1100,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2,4-Dinitrotoluene","2,4-Dinitro toluene",121-14-2,1.7,7.4,0.023,11,79,NA,2.2,1.7,4.7,NA,NA,NA,NA,2.6,0.13,0.86,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2,6-Dinitrotoluene","2,6-Dinitro toluene",606-20-2,0.36,1.5,NA,NA,NA,NA,NA,0.36,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Butanone (MEK),2-Butanone,78-93-3,27000,190000,6.1,200000,120000,NA,27000,NA,NA,NA,NA,NA,NA,4000,200,NA,NA,NA,NA,NA,NA,NA,173809.5,173809.52,730000,5214.2857,5214.2857,21900,NA,NA,590000
2-Chloronaphthalene,2-Chloro naphthalene,91-58-7,4800,60000,NA,NA,NA,NA,NA,4100,27000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Chlorophenol,2-Chloro phenol,95-57-8,390,5800,0.012,5800,1800,NA,390,340,3900,NA,NA,NA,NA,NA,NA,NA,0.012,NA,NA,NA,NA,NA,633.3333,NA,NA,19,NA,NA,NA,NA,NA
2-Chlorotoluene,2-Chloro toluene,95-49-8,1600,23000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Hexanone,2-Hexanone,591-78-6,200,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000
2-Methylnaphthalene,2-Methyl naphthalene,91-57-6,240,3000,0.88,3000,670,NA,240,190,1300,NA,NA,NA,NA,NA,NA,0.25,0.88,NA,NA,NA,2.1,NA,2266.667,NA,NA,68,NA,NA,NA,NA,NA
2-Methylphenol (o-Cresol),2-Methyl phenol (o-Cresol),95-48-7,3200,41000,NA,NA,NA,NA,NA,3200,26000,NA,NA,NA,NA,4000,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Nitroaniline,2-Nitroaniline,88-74-4,630,8000,NA,NA,NA,NA,NA,630,5200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Nitrophenol,2-Nitro phenol,88-75-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3 & 4-Methylphenol (m,p-Cresol)","2&/or 4-Methyl phenol (m,p-Cresol)",65794-96-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3,3-Dichlorobenzidine","3,3-Dichloro benzidine",91-94-1,1.2,5.1,0.025,2.7,20,NA,0.58,0.45,1.2,NA,NA,NA,NA,NA,NA,NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-Nitroaniline,3-Nitroaniline,99-09-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4,6-Dinitro-2-methylphenol","4,6-Dinitro-2-methyl phenol",534-52-1,NA,NA,NA,NA,NA,NA,NA,5.1,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-Bromophenyl Phenyl Ether,4-Bromo phenyl Phenyl Ether,101-55-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-Chloro-3-methylphenol,4-Chloro-3-methyl phenol,59-50-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-Chloroaniline,4-Chloro aniline,106-47-8,NA,NA,0.0067,16,120,NA,3.5,2.7,7.4,NA,NA,NA,NA,NA,NA,NA,0.0067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-Chlorophenyl Phenyl Ether,4-Chloro phenyl Pnenyl Ether,7005-72-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-Chlorotoluene,4-Chloro toluene,106-43-4,1600,23000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-Isopropyl toluene,4-Isopropyl toluene,99-87-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
